Día,Mes,Año,Dolar_Compra,Dolar_Venta,EBORU_Dolar_Compra,EBORU_Dolar_Venta,Euro_Compra,Euro_Venta,Arg_Compra,Arg_Venta,Br_Compra,Br_Venta
24,Ene,2018,28.11,28.81,28.27,28.64,33.7,36.4,1.08,1.78,7.98,9.18
25,Ene,2018,28.05,28.75,28.21,28.58,33.97,36.71,1.06,1.76,8.18,9.38
26,Ene,2018,28.03,28.73,28.2,28.57,33.99,36.72,1.06,1.76,8.19,9.39
29,Ene,2018,28.02,28.72,28.19,28.56,34.03,36.76,1.06,1.76,8.22,9.42
30,Ene,2018,28.06,28.76,28.22,28.6,33.89,36.62,1.06,1.76,8.16,9.36
31,Ene,2018,28.05,28.75,28.17,28.59,33.94,36.67,1.06,1.76,8.11,9.31
1,Feb,2018,28.02,28.72,28.16,28.58,33.93,36.66,1.06,1.76,8.09,9.29
2,Feb,2018,28.02,28.72,28.16,28.57,34.17,36.91,1.08,1.78,8.13,9.33
5,Feb,2018,28.1,28.8,28.27,28.68,34.18,36.92,1.07,1.77,8.03,9.23
6,Feb,2018,28.1,28.8,28.23,28.65,34.05,36.78,1.07,1.77,7.95,9.15
7,Feb,2018,28.11,28.81,28.26,28.67,34.01,36.75,1.07,1.77,7.96,9.16
8,Feb,2018,28.15,28.95,28.32,28.8,33.67,36.5,1.06,1.76,7.91,9.11
9,Feb,2018,28.25,29.05,28.45,28.87,33.82,36.66,1.05,1.75,7.92,9.12
14,Feb,2018,28.3,29.3,28.59,29,33.78,36.86,1.05,1.75,7.93,9.13
15,Feb,2018,28.17,29.27,28.42,28.96,34.16,37.41,1.06,1.76,8.09,9.29
16,Feb,2018,27.95,28.95,28.18,28.69,34.08,37.21,1.06,1.76,7.99,9.19
19,Feb,2018,27.93,28.93,28.17,28.7,33.79,36.89,1.05,1.75,8.01,9.21
20,Feb,2018,27.93,28.93,28.17,28.68,33.83,36.93,1.04,1.74,7.98,9.18
21,Feb,2018,27.96,28.96,28.2,28.71,33.68,36.78,1.05,1.75,7.95,9.15
